source_index,source_lat,source_lon,source_current_pano_id,source_current_image_file,candidate_rank,historical_pano_id,historical_date,historical_lat,historical_lon,distance_to_source_m,heading,pitch,roll,search_status,error
11,50.10231216511628,14.392401925581396,7U3uE8VEagi2lsoc-Qgtgg,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0011.jpg,0,FXMA_sHF9T8lfjypGDAAmg,2014-05,50.10232378117554,14.3923939055276,1.413,311.2836608886719,89.88850402832031,359.9490051269531,ok,
11,50.10231216511628,14.392401925581396,7U3uE8VEagi2lsoc-Qgtgg,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0011.jpg,1,ftwzFbk2G24lpjy3nJCXQQ,2011-08,50.10232713488038,14.3923958782962,1.72,309.4984436035156,89.63296508789062,0.05210581049323082,ok,
11,50.10231216511628,14.392401925581396,7U3uE8VEagi2lsoc-Qgtgg,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0011.jpg,2,VPrk73e_7IXFKNnbj8ZikA,2009-05,50.10234117837727,14.39238294033512,3.499,310.0852661132812,91.87360382080078,0.1920804977416992,ok,
13,50.10237128604651,14.392294730232559,OQl4VHcF5xCa0egYysChKw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0013.jpg,0,HwosgjcP0ykcUYMEzf_xqg,2009-05,50.10238013803163,14.3923128084658,1.622,309.4103088378906,91.55638885498047,0.2984552979469299,ok,
13,50.10237128604651,14.392294730232559,OQl4VHcF5xCa0egYysChKw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0013.jpg,1,N-R0imUwsND0zsDXbXtIyg,2014-05,50.10236195411338,14.39232683361999,2.514,310.224365234375,90.01774597167969,0.1410835534334183,ok,
13,50.10237128604651,14.392294730232559,OQl4VHcF5xCa0egYysChKw,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0013.jpg,2,UA6ActifE44Irq0r5oKbmg,2011-08,50.1023930119599,14.3922755290414,2.777,309.4553833007812,89.36936950683594,0.4149295091629028,ok,
14,50.10240084651163,14.392241132558139,TyIip1jsJ3lz8SrC0iqQ1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0014.jpg,0,N9KLuM_NOTi0kTlFOtofwA,2011-08,50.10242481693639,14.39221767366618,3.147,309.3013916015625,89.24958038330078,0.3682768642902374,ok,
14,50.10240084651163,14.392241132558139,TyIip1jsJ3lz8SrC0iqQ1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0014.jpg,1,zqdFBa9agJeoBx4zAI7XOw,2009-05,50.10244657208563,14.3921880479258,6.339,309.7499084472656,91.03936767578125,0.7680310606956482,ok,
14,50.10240084651163,14.392241132558139,TyIip1jsJ3lz8SrC0iqQ1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0014.jpg,2,S_30dXXpEU1rHAPsAA3UVg,2014-05,50.10244794297014,14.39216894923002,7.344,309.4703979492188,89.80654907226562,0.5889760255813599,ok,
15,50.102430406976744,14.392187534883721,TyIip1jsJ3lz8SrC0iqQ1A,/Users/enzocampofranco/Library/Mobile Documents/com~apple~CloudDocs/TPS/Stage/Python/Robot_Visual_Navigation_V3/data/streetview/images/streetview_0015.jpg,0,zqdFBa9agJeoBx4zAI7XOw,2009-05,50.10244657208563,14.3921880479258,1.798,309.7499084472656,91.03936767578125,0.7680310606956482,ok,
